date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:59	29/29	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2027%20May%202020%2001:01:40%20GMT	http://bot.eternal.tk/robots.txt		(from )
04:00:00	10714/10714	---MCZ	200	added ('OK')	text/html	etag:W/%2229da-17241529a40%22	http://bot.eternal.tk/	C:/Users/Admin/Desktop/c11/bot.eternal.tk/index.html	(from )
04:00:01	15001/15001	---M--	200	added ('OK')	image/png	etag:%22b9a19811e533bc0a0ea19d2067b4f40c%22	https://cdn.discordapp.com/attachments/701471112432713748/712299281226399744/logo-Recovered.png	C:/Users/Admin/Desktop/c11/cdn.discordapp.com/attachments/701471112432713748/712299281226399744/logo-Recovered.png	(from http://bot.eternal.tk/)
04:00:01	180833/180833	---MCZ	200	added ('OK')	text/css	etag:W/%222c261-172247b2a18%22	http://bot.eternal.tk/css/bootstrap.min.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/bootstrap.min.css	(from http://bot.eternal.tk/)
04:00:02	38615/38615	---MCZ	200	added ('OK')	text/css	etag:W/%2296d7-171f3c0a1a0%22	http://bot.eternal.tk/css/font-awesome.min.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/font-awesome.min.css	(from http://bot.eternal.tk/)
04:00:02	5243/5243	---MCZ	200	added ('OK')	text/css	etag:W/%22147b-17229862e18%22	http://bot.eternal.tk/css/flaticon.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/flaticon.css	(from http://bot.eternal.tk/)
04:00:02	4099/4099	---MCZ	200	added ('OK')	text/css	etag:W/%221003-171f3c0dc38%22	http://bot.eternal.tk/css/owl.carousel.min.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/owl.carousel.min.css	(from http://bot.eternal.tk/)
04:00:03	75052/75052	---MCZ	200	added ('OK')	text/css	etag:W/%221252c-172297be930%22	http://bot.eternal.tk/css/animate.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/animate.css	(from http://bot.eternal.tk/)
04:00:03	31589/31589	---MCZ	200	added ('OK')	text/css	etag:W/%227b65-17234e586c8%22	http://bot.eternal.tk/css/style.css	C:/Users/Admin/Desktop/c11/bot.eternal.tk/css/style.css	(from http://bot.eternal.tk/)
04:00:03	62/62	---M--	302	error ('Found')	text/plain	date:Wed,%2027%20May%202020%2001:01:44%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Users/Admin/Desktop/c11/unpkg.com/sweetalert/dist/sweetalert.min.7.delayed	(from http://bot.eternal.tk/)
